"house.num","DTXSID2021781","DTXSID3020205","DTXSID7021360","DTXSID8020462","DTXSID8020913"
224,0,0,0,0,0
225,0,0,0,0,2217.889496988
226,0,0,682235.248,2981.92719132,0
227,0,0,274398.08,4341.429883866,0
228,0,10264.246476022,22443.204097776,0,0
229,0,0,1400377.264,2218746.2392601,0
230,0,0,1736248.43719762,0,0
231,0,9257.7753975,52769.9751207,0,0
232,0,0,0,0,0
233,0,0,746072.064,743903.133031828,0
234,0,0,0,0,0
235,0,0,800933.024,0,0
236,0,0,0,0,0
237,0,0,0,1662.923534244,0
238,0,0,0,17237.329428592,0
239,0,0,0,42.343396,0
240,0,0,385024.190518236,0,0
241,0,0,0,0,0
242,0,0,956238.856,0,0
243,0,0,702675.8222198,3792.875,0
244,0,0,0,347032.064712816,0
245,0,0,1739794.90748426,2159.168334392,0
246,0,20295.34715417,9850.157973414,0,0
247,0,0,59780.6433192,0,0
248,0,0,855477.12,0,46525.82
249,0,0,0,21927.580553947,0
250,95292.5433504,0,322476.237872125,0,0
251,0,12400.992,2575663.87,52685.86980189,0
252,0,0,5085.032834832,0,0
253,0,0,43682.496139728,75255.363463946,0
254,0,0,0,11098.868698767,0
255,0,0,59882.7,0,0
256,0,0,1859822.95761004,0,0
257,0,0,506663,0,0
258,0,0,143738.66099112,2103365.02497576,0
259,0,4602.0152196,555979.0595228,4308.404678942,0
260,0,0,0,1874802.94345344,0
261,0,0,317144.96,0,0
262,66644.730401808,0,233685.52,4827.158787204,0
263,0,0,1092713.916,0,0
264,0,0,349297.2767745,3275668.35386695,0
265,0,0,0,0,0
266,0,0,986052.32,0,0
267,0,0,0,6675.110723979,0
268,0,0,196891,0,0
269,0,0,516853.74,230696.503189776,0
270,0,0,544182.516,5622.16081518,0
271,0,0,2382986.428,0,0
272,0,0,1047775.66,1077782.3482338,0
273,0,0,66983.802410625,0,0
274,0,0,905094.4,0,0
275,0,0,0,0,0
276,0,0,0,2948776.85077612,0
277,0,0,373730.3,1306.03213468,0
278,0,0,748358.372022762,0,0
279,0,12871.637505594,1611939.54547329,0,0
280,0,0,402469.236,0,0
281,0,0,0,1292597.87730335,0
282,60506.18432566,0,0,366009.829353896,0
283,0,0,0,6679.762809996,0
284,0,0,868792.626,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,64200.542630164,0,0
288,0,0,160.2647445,1143.36238464,0
289,0,0,1387092.458,5657.19682528,0
290,0,0,126514.462413,43172.9372358,0
291,0,0,0,198967.6180856,0
292,0,0,81.495136,0,0
293,0,0,417251.737789965,954817.5761216,0
294,198756.351013968,0,522836.11106988,0,0
