"household","dtxsid","total.used","dir.derm.exp","dir.derm.max","dir.derm.abs","dir.inhal.exp","dir.inhal.max","dir.inhal.mass","dir.inhal.abs","dir.ingest.exp","dir.ingest.abs","dir.release","ind.derm.exp","ind.derm.pr.exp","ind.derm.ar.exp","ind.derm.max","ind.derm.abs","ind.inhal.exp","ind.inhal.pr.exp","ind.inhal.ar.exp","ind.inhal.amb.in","ind.inhal.amb.out","ind.inhal.max","ind.inhal.mass","ind.inhal.abs","ind.ingest.exp","ind.ingest.abs","out.sur","out.air","drain","waste","food.ing","food.abs"
129,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"DTXSID7021360",1525849.78,0.478413873626374,0.000731386332039258,0.000320700861655193,0.00099602744325983,0.0292375961817954,0.0400901045912082,0.0064144167345933,0,0,956.827747252747,0.1449212302929,0.1449212302929,0,3.97056256778575e-05,9.7146760962716e-05,0.184288697574384,0.184288697574384,0,0,0,3.1335075335553,4.2559038457733,0.680944615323728,1.62159186200731e-08,1.62109472086063e-08,6.80576444470457e-06,2980.03563300442,0,52.2190033000658,0,0
129,"DTXSID8020462",693523.110408912,0,0,0,0,0,0,0,0,0,0,5.41492206533168e-06,5.41492206533168e-06,0,1.15639606065878e-09,7.18024840601266e-07,1.30233735230345e-07,1.30233735230345e-07,0,0,0,1.6597764113433e-06,2.63585536058623e-06,4.21736857693796e-07,7.88286201160176e-08,6.29695436935848e-08,0,0.00136484297118007,18.8599843983263,19.0528352538701,0,0
129,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"DTXSID7021360",15529.0490616,0.213311113483517,0.000364308896863938,0.000141875369422936,0.0439531617630039,5.0311465813664,2.21521673102436,0.354434676963898,0,0,42.6622226967033,0.0104189658225537,0.0104189658225537,0,1.6568457314099e-06,6.92975867392664e-06,0.00844716961559639,0.00844716961559639,0,0,0,0.0516968403237883,0.196718471936931,0.0314749555099089,6.06452086023259e-10,6.06266162368535e-10,0,32.1819687451314,0,0.470892774708703,0,0
130,"DTXSID8020462",6879.6,0.0945463965929524,0.000159970468565417,0.00635694916262533,6.28388860043938e-05,0.00250716540800574,0.00188464162054467,0.000301542659287148,1.45712023171866e-05,1.16397059802612e-05,9.45,1.23577013007667,1.23577013007667,0,0.000148506735055613,0.337338256849992,0.00171466837931937,0.00171466837931937,0,0,0,0.00185312809463214,0.0360934169797607,0.00577494671676171,0.019416690316401,0.0155103581346971,0,6.4521592067459,0.183621304419697,1.0902664521063,0,0
130,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"DTXSID7021360",3124856.8,17.3521593406593,0.0343470776420237,0.0115843743004189,8.96504540228902,547.582537521303,443.446049822012,70.9513679715219,0,0,8584.77142857143,1.76607549468932,1.76607549468932,0,0.000337241267812838,0.0011790393353687,0.998258560240651,0.998258560240651,0,0,0,13.3178237329397,25.6540848180305,4.10465357088487,9.97226957422381e-08,9.96921231570683e-08,0,5599.33083310903,0,89.018603320327,0,0
131,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"DTXSID7021360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"DTXSID8020462",17784.11833764,0,0,0,0,0,0,0,0,0,0,0.00117648084730759,0.00117648084730759,0,2.00174885743073e-07,0.000393536247556805,1.31617462172175e-06,1.31617462172175e-06,0,0,0,2.35631874830471e-06,1.95658961880605e-05,3.13054339008969e-06,7.2882859054322e-05,5.82199760820368e-05,0,0.05346399231053,5.47748432513099,0.488702951171905,0,0
132,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
