"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
31,0,0,0,0.00012167219238859,0,0,0,0,0.00012167219238859,0,0,0,0,0,0,0,0,0,1.87624745031127e-08,0,0,0,0,4.94987032406829e-05,0,0,0,0,6.50004649297384e-07,0,0,0,0,6.50004649297384e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48555889713629e-06,0,0,0,0,1.5263629857386e-05,0,0,0,0,2.44218077718175e-06,0,0,0,0,2.71536415044651e-05,0,0,0,0,2.16907566393887e-05,0
32,0,0,0,0.000138900135044797,0,0,0,0,0.000138900135044797,0,0,0,0,0,0,0,0,0,1.93918082699027e-08,0,0,0,0,5.65073779776644e-05,0,0,0,0,6.61403009373026e-07,0,0,0,0,6.61403009373026e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49563765704112e-06,0,0,0,0,1.58305115190925e-05,0,0,0,0,2.5328818430548e-06,0,0,0,0,3.09984097260492e-05,0,0,0,0,2.47620180691133e-05,0
33,0,0,0,0.000129684640938811,0,0,0,0,0.000129684640938811,0,0,0,0,0,0,0,0,0,1.95522359022009e-08,0,0,0,0,5.27583290042426e-05,0,0,0,0,6.62999277705294e-07,0,0,0,0,6.62999277705294e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49821097983992e-06,0,0,0,0,1.56925609491729e-05,0,0,0,0,2.51080975186766e-06,0,0,0,0,2.89417834885499e-05,0,0,0,0,2.31191526284526e-05,0
34,0,0,0,0.000144386098855225,0,0,0,0,0.000144386098855225,0,0,0,0,0,0,0,0,0,1.9867468066551e-08,0,0,0,0,5.87391787639464e-05,0,0,0,0,6.68925123225767e-07,0,0,0,0,6.68925123225767e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50326104105943e-06,0,0,0,0,1.60397359759833e-05,0,0,0,0,2.56635775615734e-06,0,0,0,0,3.22227148995689e-05,0,0,0,0,2.57400123306489e-05,0
35,0,0,0,0.000124645554125334,0,0,0,0,0.000124645554125334,0,0,0,0,0,0,0,0,0,2.03097718340168e-08,0,0,0,0,5.07083267984162e-05,0,0,0,0,6.71049336102691e-07,0,0,0,0,6.71049336102691e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51034680626985e-06,0,0,0,0,1.56246496065207e-05,0,0,0,0,2.49994393704331e-06,0,0,0,0,2.78172080686706e-05,0,0,0,0,2.22208240653672e-05,0
36,0,0,0,0.000155341567816533,0,0,0,0,0.000155341567816533,0,0,0,0,0,0,0,0,0,2.05995040957984e-08,0,0,0,0,6.31960846216661e-05,0,0,0,0,6.80094220056023e-07,0,0,0,0,6.80094220056023e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51498835565694e-06,0,0,0,0,1.63446797256817e-05,0,0,0,0,2.61514875610907e-06,0,0,0,0,3.46676521596668e-05,0,0,0,0,2.76930667340016e-05,0
37,0,0,0,0.000163258388678338,0,0,0,0,0.000163258388678338,0,0,0,0,0,0,0,0,0,2.07377510304055e-08,0,0,0,0,6.6416807111786e-05,0,0,0,0,6.7940195374035e-07,0,0,0,0,6.7940195374035e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51720308994529e-06,0,0,0,0,1.65186370509071e-05,0,0,0,0,2.64298192814513e-06,0,0,0,0,3.64344528666842e-05,0,0,0,0,2.91044149747122e-05,0
38,0,0,0,0.000147721294052569,0,0,0,0,0.000147721294052569,0,0,0,0,0,0,0,0,0,2.11567803575924e-08,0,0,0,0,6.00960034753468e-05,0,0,0,0,6.84041387185888e-07,0,0,0,0,6.84041387185888e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52391599552541e-06,0,0,0,0,1.62295017730498e-05,0,0,0,0,2.59672028368797e-06,0,0,0,0,3.29670320106379e-05,0,0,0,0,2.63345845656868e-05,0
39,0,0,0,0.000144689031414205,0,0,0,0,0.000144689031414205,0,0,0,0,0,0,0,0,0,2.12434528904844e-08,0,0,0,0,5.88624178421988e-05,0,0,0,0,6.87863176736615e-07,0,0,0,0,6.87863176736615e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52530450103538e-06,0,0,0,0,1.6272039785852e-05,0,0,0,0,2.60352636573631e-06,0,0,0,0,3.22903205039811e-05,0,0,0,0,2.57940167525796e-05,0
40,0,0,0,0.000150064961515643,0,0,0,0,0.000150064961515643,0,0,0,0,0,0,0,0,0,2.16785245927927e-08,0,0,0,0,6.1049454695154e-05,0,0,0,0,6.97081757068447e-07,0,0,0,0,6.97081757068447e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53227440760011e-06,0,0,0,0,1.64570221146004e-05,0,0,0,0,2.63312353833607e-06,0,0,0,0,3.34900694019157e-05,0,0,0,0,2.67523950742937e-05,0
