"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
87,0,0,3.6156811807132e-05,0,0,0,0,3.6156811807132e-05,0,0,0,0,0,0,0,0,0,5.51172506390378e-09,0,0,0,0,2.41608918650495e-08,0,0,0,0,3.92997571393207e-06,0,0,0,0,3.92997571393207e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88957382215364e-06,0,0,0,0,8.44190220772406e-05,0,0,0,0,1.35070435323585e-05,0,0,0,0,4.05215168040617e-12,0,0,0,0,4.0509093879526e-12,0,0
88,0,0,2.66652772195544e-05,0,0,0,0,2.66652772195544e-05,0,0,0,0,0,0,0,0,0,3.67115746534517e-09,0,0,0,0,1.78184095127032e-08,0,0,0,0,2.63372813467568e-06,0,0,0,0,2.63372813467568e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25676539222041e-06,0,0,0,0,5.90852456809526e-05,0,0,0,0,9.45363930895242e-06,0,0,0,0,2.98842023102271e-12,0,0,0,0,2.98750405310196e-12,0,0
89,0,0,1.45306597420515e-05,0,0,0,0,1.45306597420515e-05,0,0,0,0,0,0,0,0,0,2.09960104368234e-09,0,0,0,0,9.70975263605196e-09,0,0,0,0,1.72939121657979e-06,0,0,0,0,1.72939121657979e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15798962403287e-06,0,0,0,0,3.57252909958892e-05,0,0,0,0,5.71604655934228e-06,0,0,0,0,1.62847425832911e-12,0,0,0,0,1.62797500720489e-12,0,0
90,0,0,1.18273485464539e-05,0,0,0,0,1.18273485464539e-05,0,0,0,0,0,0,0,0,0,1.62867318784553e-09,0,0,0,0,7.90333204170273e-09,0,0,0,0,1.15930925916478e-06,0,0,0,0,1.15930925916478e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4448321880723e-06,0,0,0,0,2.61006320723394e-05,0,0,0,0,4.1761011315743e-06,0,0,0,0,1.32550985255312e-12,0,0,0,0,1.32510348304457e-12,0,0
91,0,0,6.99272897746023e-06,0,0,0,0,6.99272897746023e-06,0,0,0,0,0,0,0,0,0,9.47373507995551e-10,0,0,0,0,4.67271753846086e-09,0,0,0,0,7.75655212453532e-07,0,0,0,0,7.75655212453532e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59190133347411e-07,0,0,0,0,1.65139146110764e-05,0,0,0,0,2.64222633777222e-06,0,0,0,0,7.83686311386868e-13,0,0,0,0,7.83446051972268e-13,0,0
92,0,0,4.77646441346461e-06,0,0,0,0,4.77646441346461e-06,0,0,0,0,0,0,0,0,0,6.31010670166624e-10,0,0,0,0,3.19175376431314e-09,0,0,0,0,5.18125727276538e-07,0,0,0,0,5.18125727276538e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37797198826543e-07,0,0,0,0,1.11400498728054e-05,0,0,0,0,1.78240797964887e-06,0,0,0,0,5.35305999950005e-13,0,0,0,0,5.35141887977764e-13,0,0
93,0,0,3.80558808668502e-06,0,0,0,0,3.80558808668502e-06,0,0,0,0,0,0,0,0,0,4.81260643818867e-10,0,0,0,0,2.54298976181248e-09,0,0,0,0,3.44650283537387e-07,0,0,0,0,3.44650283537387e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26937014884932e-07,0,0,0,0,8.05789327845555e-06,0,0,0,0,1.28926292455289e-06,0,0,0,0,4.26498338477748e-13,0,0,0,0,4.26367584323131e-13,0,0
94,0,0,1.97073800877711e-06,0,0,0,0,1.97073800877711e-06,0,0,0,0,0,0,0,0,0,2.75241625995011e-10,0,0,0,0,1.31689674903844e-09,0,0,0,0,2.28060875018949e-07,0,0,0,0,2.28060875018949e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83603196154275e-07,0,0,0,0,4.76725883737954e-06,0,0,0,0,7.62761413980726e-07,0,0,0,0,2.20863758024464e-13,0,0,0,0,2.20796046496984e-13,0,0
95,0,0,1.64179148896679e-06,0,0,0,0,1.64179148896679e-06,0,0,0,0,0,0,0,0,0,2.13506588685476e-10,0,0,0,0,1.09708640356561e-09,0,0,0,0,1.511281701358e-07,0,0,0,0,1.511281701358e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89406440776715e-07,0,0,0,0,3.50542303086166e-06,0,0,0,0,5.60867684937865e-07,0,0,0,0,1.83998195869168e-13,0,0,0,0,1.83941786438272e-13,0,0
96,0,0,8.71249637139815e-07,0,0,0,0,8.71249637139815e-07,0,0,0,0,0,0,0,0,0,1.22108261677338e-10,0,0,0,0,5.82190940470213e-10,0,0,0,0,1.01218771992549e-07,0,0,0,0,1.01218771992549e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25529117418016e-07,0,0,0,0,2.11251940814977e-06,0,0,0,0,3.38003105303963e-07,0,0,0,0,9.76423391537246e-14,0,0,0,0,9.76124043559562e-14,0,0
97,0,0,6.04030480840552e-07,0,0,0,0,6.04030480840552e-07,0,0,0,0,0,0,0,0,0,8.36694347048768e-11,0,0,0,0,4.0362837322686e-10,0,0,0,0,6.76337992208932e-08,0,0,0,0,6.76337992208932e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39698009265813e-08,0,0,0,0,1.43405738939332e-06,0,0,0,0,2.29449182302931e-07,0,0,0,0,6.76946612718712e-14,0,0,0,0,6.76739077133971e-14,0,0
98,0,0,3.9361731048763e-07,0,0,0,0,3.9361731048763e-07,0,0,0,0,0,0,0,0,0,6.30895867244346e-11,0,0,0,0,2.63024995832938e-10,0,0,0,0,4.48706165339393e-08,0,0,0,0,4.48706165339393e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59681747768093e-08,0,0,0,0,9.44066670940684e-07,0,0,0,0,1.51050667350509e-07,0,0,0,0,4.41133210150678e-14,0,0,0,0,4.40997969295643e-14,0,0
99,0,0,2.88638130467071e-07,0,0,0,0,2.88638130467071e-07,0,0,0,0,0,0,0,0,0,4.20216546731934e-11,0,0,0,0,1.92875264985873e-10,0,0,0,0,2.99908894015711e-08,0,0,0,0,2.99908894015711e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72783439433934e-08,0,0,0,0,6.57346585885816e-07,0,0,0,0,1.05175453741731e-07,0,0,0,0,3.23481365458979e-14,0,0,0,0,3.23382193835882e-14,0,0
